Pattern,1,2,4,8,16,32,48
0,15813.25,24958.16,47151.45,91535.59,168536.34,310212.26,438600.58
1,15440.39,27789.34,55233.14,100199.17,189513.67,347089.17,495771.06
2,20778.13,38694.63,66258.34,128910.95,240999.56,423868.75,617741.94
3,20695.62,38074.4,71649.05,133774.63,246701.47,457872.94,641634.26
