Pattern,0.255384,0.255384,0.255384,0.255384,0.255384,0.510768,1.021536,2.043072,4.086144,8.172288,16.344576,32.689152
0,27904.72,28101.23,29558.33,29890.45,30345.06,54850.51,99139.75,184526.02,309932.04,475575.41,657359.09,792502.69
1,28502.68,28915.76,29020.91,29020.91,29778.92,56401.06,99139.75,185598.84,296269.15,460981.93,622887.79,738637.72
2,28811.37,29340.99,30116.04,30116.04,30230.11,59557.84,109325.34,190585.08,334272.25,528745.33,748926.67,919474.38
3,29233.52,29449.26,29890.45,30116.04,30695.19,58253.65,108581.63,190585.08,333399.47,526564.95,745646.74,915354.84
